date,component,value
2020-06-21,residual,1103.18
2020-06-22,actual,25717.29
2020-06-22,trend,25599.61
2020-06-22,seasonal,18.05
2020-06-22,residual,99.62
2020-06-23,actual,25717.29
2020-06-23,trend,26612.96
2020-06-23,seasonal,8.32
2020-06-23,residual,-904.0
2020-06-24,actual,25717.29
2020-06-24,trend,27626.32
2020-06-24,seasonal,-1.32
2020-06-24,residual,-1907.71
2020-06-25,actual,25717.29
2020-06-25,trend,28639.67
2020-06-25,seasonal,-10.84
2020-06-25,residual,-2911.54
2020-06-26,actual,25717.29
2020-06-26,trend,29653.02
2020-06-26,seasonal,-20.08
2020-06-26,residual,-3915.65
2020-06-27,actual,25717.29
2020-06-27,trend,30666.37
2020-06-27,seasonal,-28.31
2020-06-27,residual,-4920.78
2020-06-28,actual,36896.86
2020-06-28,trend,32478.66
2020-06-28,seasonal,27.86
2020-06-28,residual,4390.34
2020-06-29,actual,36896.86
2020-06-29,trend,34022.9
2020-06-29,seasonal,18.05
2020-06-29,residual,2855.91
2020-06-30,actual,36896.86
2020-06-30,trend,35567.14
2020-06-30,seasonal,8.32
2020-06-30,residual,1321.4
2020-07-01,actual,36896.86
2020-07-01,trend,37111.37
2020-07-01,seasonal,-1.32
2020-07-01,residual,-213.2
2020-07-02,actual,36896.86
2020-07-02,trend,38655.61
2020-07-02,seasonal,-10.84
2020-07-02,residual,-1747.91
2020-07-03,actual,36896.86
2020-07-03,trend,40199.85
2020-07-03,seasonal,-20.08
2020-07-03,residual,-3282.91
2020-07-04,actual,36896.86
2020-07-04,trend,41744.09
2020-07-04,seasonal,-28.31
2020-07-04,residual,-4818.92
2020-07-05,actual,48880.86
2020-07-05,trend,43764.89
2020-07-05,seasonal,27.86
2020-07-05,residual,5088.12
2020-07-06,actual,48880.86
2020-07-06,trend,45040.38
2020-07-06,seasonal,18.05
2020-07-06,residual,3822.42
2020-07-07,actual,48880.86
2020-07-07,trend,46315.88
2020-07-07,seasonal,8.32
2020-07-07,residual,2556.66
2020-07-08,actual,48880.86
2020-07-08,trend,47591.37
2020-07-08,seasonal,-1.32
2020-07-08,residual,1290.8
2020-07-09,actual,48880.86
2020-07-09,trend,48866.87
2020-07-09,seasonal,-10.84
2020-07-09,residual,24.83
2020-07-10,actual,48880.86
2020-07-10,trend,50142.37
2020-07-10,seasonal,-20.08
2020-07-10,residual,-1241.42
2020-07-11,actual,48880.86
2020-07-11,trend,51417.86
2020-07-11,seasonal,-28.31
2020-07-11,residual,-2508.7
2020-07-12,actual,56029.29
2020-07-12,trend,53398.71
2020-07-12,seasonal,27.86
2020-07-12,residual,2602.73
